               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0952,            0.084221,            0.026014,             0.76907,             0.20233,             0.16189,            0.056342,             0.06856,            0.065544,            0.011841,            0.070423,           0.0032864,           0.0032864
                   1,            0.075112,            0.084943,            0.013494,              0.7416,             0.53307,             0.47422,             0.23909,            0.065808,            0.046845,            0.011415,            0.040379,            0.006576,            0.006576
                   2,            0.071476,            0.082509,            0.011418,             0.70323,             0.48351,             0.44533,             0.18575,              0.0584,            0.050179,            0.010816,            0.010291,           0.0098217,           0.0098217
                   3,            0.065573,            0.081663,            0.010841,             0.69466,             0.57085,             0.52453,             0.28414,            0.048643,             0.05291,            0.010358,            0.009802,            0.009802,            0.009802
                   4,            0.058932,            0.079118,            0.010311,             0.90887,             0.63319,              0.6981,             0.43511,            0.037169,            0.044742,           0.0099967,            0.009802,            0.009802,            0.009802
                   5,            0.056195,            0.079229,           0.0088721,             0.84767,             0.62594,               0.692,             0.45474,            0.032974,             0.04442,           0.0095693,            0.009736,            0.009736,            0.009736
                   6,             0.05296,            0.075443,           0.0085801,              0.9222,             0.63901,             0.74254,             0.45947,            0.037647,            0.042295,           0.0091521,             0.00967,             0.00967,             0.00967
                   7,             0.05297,            0.075386,           0.0086448,             0.94108,             0.61891,             0.76524,             0.51679,            0.027908,            0.044094,           0.0086852,            0.009604,            0.009604,            0.009604
                   8,            0.050196,            0.072025,           0.0082398,             0.94972,             0.64047,              0.8867,              0.5761,            0.031005,             0.04258,           0.0076836,            0.009538,            0.009538,            0.009538
                   9,            0.050194,            0.072693,           0.0073976,             0.80393,              0.7421,             0.90073,              0.5855,            0.029424,            0.040859,           0.0065652,            0.009472,            0.009472,            0.009472
                  10,            0.048791,            0.073112,           0.0061813,              0.6918,              0.8681,             0.89674,              0.5963,            0.026394,            0.040847,           0.0051505,            0.009406,            0.009406,            0.009406
                  11,            0.048954,            0.071033,           0.0057835,             0.88694,             0.86953,             0.95198,             0.65898,            0.028134,            0.040453,           0.0040953,             0.00934,             0.00934,             0.00934
                  12,            0.047662,            0.072844,            0.005067,             0.94128,             0.94448,             0.97939,             0.68722,             0.02493,            0.039509,           0.0025694,            0.009274,            0.009274,            0.009274
                  13,            0.047075,            0.070396,           0.0042337,             0.93107,              0.9683,             0.98417,             0.68766,            0.023369,            0.039233,           0.0021672,            0.009208,            0.009208,            0.009208
                  14,            0.046902,            0.070193,           0.0040387,              0.9674,             0.95132,               0.986,             0.65094,            0.026675,            0.038386,           0.0019862,            0.009142,            0.009142,            0.009142
                  15,            0.047721,            0.069701,           0.0038083,             0.97384,             0.96854,             0.98965,             0.72281,            0.024279,            0.038448,           0.0013709,            0.009076,            0.009076,            0.009076
                  16,            0.046128,            0.069156,           0.0037021,             0.95666,             0.96422,             0.98643,             0.69612,            0.025087,            0.037722,            0.001532,             0.00901,             0.00901,             0.00901
                  17,            0.046573,            0.069125,           0.0033941,             0.93387,              0.9783,             0.98317,             0.72786,            0.023334,             0.03933,           0.0015626,            0.008944,            0.008944,            0.008944
                  18,            0.045013,            0.068098,           0.0031005,             0.95079,             0.97958,             0.98623,             0.68009,            0.023252,            0.036627,             0.00157,            0.008878,            0.008878,            0.008878
                  19,            0.044592,            0.067696,           0.0030225,             0.97613,             0.97699,             0.99075,             0.73058,            0.022188,             0.03624,           0.0010055,            0.008812,            0.008812,            0.008812
                  20,            0.044093,            0.066664,           0.0030873,             0.94326,             0.99806,             0.98833,             0.69764,            0.024637,            0.037354,             0.00124,            0.008746,            0.008746,            0.008746
                  21,            0.043917,            0.064756,            0.002889,             0.97979,             0.98548,             0.98974,              0.7797,            0.020928,            0.035893,           0.0012111,             0.00868,             0.00868,             0.00868
                  22,            0.043308,            0.066602,           0.0027735,             0.95408,             0.96804,             0.98876,             0.77124,            0.020146,            0.036405,           0.0010095,            0.008614,            0.008614,            0.008614
                  23,            0.042708,            0.064695,           0.0027694,             0.97547,             0.96703,             0.99103,             0.73771,              0.0218,            0.035252,           0.0010646,            0.008548,            0.008548,            0.008548
                  24,            0.043339,            0.066142,           0.0026877,             0.97543,             0.98819,             0.99241,             0.76175,            0.021542,            0.034261,          0.00082737,            0.008482,            0.008482,            0.008482
                  25,            0.042386,            0.064903,           0.0025112,             0.96503,             0.98676,             0.99114,             0.74393,            0.019742,             0.03511,           0.0010632,            0.008416,            0.008416,            0.008416
                  26,            0.042123,            0.065247,           0.0023931,             0.95369,             0.98299,             0.99061,             0.79389,             0.01987,            0.035471,          0.00085773,             0.00835,             0.00835,             0.00835
                  27,            0.041751,            0.065029,           0.0023845,             0.96081,             0.98226,             0.99219,             0.78065,            0.020898,             0.03579,          0.00085071,            0.008284,            0.008284,            0.008284
                  28,             0.04233,            0.065021,           0.0026244,             0.96751,             0.98836,             0.99125,             0.77495,            0.019956,            0.035504,          0.00098559,            0.008218,            0.008218,            0.008218
                  29,            0.041314,            0.062692,           0.0023054,             0.97078,             0.97891,             0.99266,             0.78974,            0.019119,            0.035739,          0.00084447,            0.008152,            0.008152,            0.008152
                  30,            0.041799,            0.063762,           0.0022396,             0.97953,             0.98813,             0.99313,             0.79177,            0.021121,            0.034928,          0.00080282,            0.008086,            0.008086,            0.008086
                  31,            0.041943,             0.06433,           0.0022389,             0.98906,             0.98808,             0.99268,             0.78539,            0.019108,            0.032356,          0.00075957,             0.00802,             0.00802,             0.00802
                  32,            0.041007,            0.063064,           0.0021231,             0.97189,             0.99412,             0.99247,             0.81462,             0.01835,            0.033188,          0.00087032,            0.007954,            0.007954,            0.007954
                  33,            0.041193,            0.064952,             0.00227,             0.98479,             0.98558,             0.99277,             0.79798,            0.018989,            0.035951,          0.00064014,            0.007888,            0.007888,            0.007888
                  34,            0.040729,              0.0641,           0.0021952,             0.97599,             0.98789,             0.99276,             0.79653,            0.019616,            0.034136,          0.00077156,            0.007822,            0.007822,            0.007822
                  35,            0.041243,            0.064088,            0.002076,             0.98437,             0.99156,             0.99293,             0.80863,            0.019166,            0.033404,          0.00060094,            0.007756,            0.007756,            0.007756
                  36,            0.040803,            0.062286,            0.002318,             0.98511,             0.98562,             0.99328,             0.81344,            0.019212,            0.033521,          0.00053592,             0.00769,             0.00769,             0.00769
                  37,             0.03973,            0.061727,           0.0017594,             0.97454,             0.99182,               0.993,             0.80759,            0.017826,            0.031161,          0.00069904,            0.007624,            0.007624,            0.007624
                  38,            0.039518,            0.060873,           0.0019855,              0.9699,             0.98487,             0.99231,             0.81334,            0.018769,            0.032167,          0.00075029,            0.007558,            0.007558,            0.007558
                  39,            0.040082,            0.062326,           0.0020035,             0.98918,             0.98816,             0.99352,              0.8145,            0.018387,            0.032368,          0.00054367,            0.007492,            0.007492,            0.007492
                  40,            0.039867,            0.060066,           0.0019306,             0.98242,             0.99422,             0.99325,             0.81861,            0.019424,             0.03137,          0.00061993,            0.007426,            0.007426,            0.007426
                  41,            0.039432,            0.061902,           0.0017759,             0.98064,             0.98613,             0.99326,             0.81612,            0.017567,            0.031056,          0.00061826,             0.00736,             0.00736,             0.00736
                  42,            0.040642,            0.059621,           0.0018423,             0.98841,             0.97771,             0.99348,             0.81955,            0.018067,            0.032881,          0.00054097,            0.007294,            0.007294,            0.007294
                  43,             0.03945,            0.061402,            0.001835,             0.98958,             0.99253,             0.99386,             0.81245,            0.018224,            0.031932,          0.00044492,            0.007228,            0.007228,            0.007228
                  44,            0.039889,            0.060574,           0.0016837,             0.98706,             0.98915,             0.99313,              0.8129,            0.018062,            0.034769,          0.00049405,            0.007162,            0.007162,            0.007162
                  45,            0.039152,             0.06163,           0.0017405,             0.99063,             0.99035,             0.99444,             0.80989,            0.017922,              0.0302,           0.0005024,            0.007096,            0.007096,            0.007096
                  46,            0.040025,            0.060807,           0.0016919,             0.98009,             0.99483,             0.99407,             0.81178,            0.017575,            0.031944,           0.0004745,             0.00703,             0.00703,             0.00703
                  47,            0.039402,            0.061347,           0.0017734,             0.98751,             0.99603,             0.99409,             0.80967,            0.018122,            0.031327,          0.00040122,            0.006964,            0.006964,            0.006964
                  48,             0.03896,            0.060362,           0.0016413,             0.98556,             0.99013,             0.99441,             0.82777,            0.018723,            0.031429,          0.00062263,            0.006898,            0.006898,            0.006898
                  49,             0.03892,            0.060104,           0.0017519,             0.98686,             0.98787,             0.99424,             0.82984,            0.017456,            0.031544,          0.00044881,            0.006832,            0.006832,            0.006832
                  50,            0.039443,            0.059353,            0.001691,             0.98661,             0.99179,             0.99459,             0.82157,            0.017234,             0.03159,          0.00040382,            0.006766,            0.006766,            0.006766
                  51,            0.038972,            0.060764,           0.0016286,             0.99083,             0.99295,             0.99443,             0.82128,            0.018022,            0.031436,          0.00034828,              0.0067,              0.0067,              0.0067
                  52,            0.037951,            0.059532,           0.0015484,             0.98724,             0.98003,             0.99081,             0.82737,            0.016899,            0.029451,          0.00048444,            0.006634,            0.006634,            0.006634
                  53,             0.03819,            0.060842,           0.0015652,             0.98183,             0.98984,             0.99407,             0.82985,            0.016822,            0.029939,          0.00041589,            0.006568,            0.006568,            0.006568
                  54,            0.037869,            0.058602,           0.0015598,             0.99285,             0.98628,             0.99385,             0.83388,            0.017192,            0.031104,           0.0004867,            0.006502,            0.006502,            0.006502
                  55,            0.037939,            0.060559,           0.0017027,             0.99095,             0.98684,             0.99383,             0.82615,            0.017467,             0.02972,          0.00050245,            0.006436,            0.006436,            0.006436
                  56,            0.037603,            0.059349,           0.0015197,              0.9902,             0.99078,             0.99433,             0.83321,            0.016871,            0.029478,          0.00034948,             0.00637,             0.00637,             0.00637
                  57,            0.037372,            0.059351,           0.0012439,             0.98609,             0.98566,             0.99404,             0.83743,            0.017191,            0.029865,          0.00034062,            0.006304,            0.006304,            0.006304
                  58,            0.037461,            0.058047,           0.0013601,             0.98264,             0.99315,             0.99416,             0.83813,            0.016785,            0.030157,          0.00038055,            0.006238,            0.006238,            0.006238
                  59,            0.037243,            0.057868,           0.0015261,             0.98916,             0.98575,             0.99402,             0.82779,            0.017077,            0.030405,          0.00044245,            0.006172,            0.006172,            0.006172
                  60,            0.037139,            0.058726,           0.0014809,             0.98614,             0.99651,             0.99446,             0.85621,            0.017152,            0.029535,          0.00035051,            0.006106,            0.006106,            0.006106
                  61,            0.036997,            0.056848,           0.0013801,             0.96968,             0.98211,              0.9932,             0.85218,            0.016382,            0.028754,          0.00047296,             0.00604,             0.00604,             0.00604
                  62,            0.037398,            0.057543,           0.0012953,             0.97448,             0.98855,             0.99357,             0.83323,            0.016657,            0.030949,          0.00032891,            0.005974,            0.005974,            0.005974
                  63,            0.036882,            0.056353,           0.0013411,             0.99217,             0.97886,             0.99408,             0.86072,            0.016206,            0.029467,          0.00031225,            0.005908,            0.005908,            0.005908
                  64,            0.035623,            0.055283,           0.0011754,             0.98515,             0.98773,             0.98952,             0.84149,            0.016599,            0.029284,          0.00048275,            0.005842,            0.005842,            0.005842
                  65,            0.036313,            0.056062,           0.0013625,             0.97999,             0.97743,              0.9936,             0.85517,            0.016812,             0.03107,          0.00032972,            0.005776,            0.005776,            0.005776
                  66,            0.035637,            0.054861,           0.0012662,             0.98466,             0.98211,             0.99301,             0.86467,            0.016184,            0.028859,          0.00039342,             0.00571,             0.00571,             0.00571
                  67,            0.037161,            0.055096,           0.0013175,             0.99217,             0.98487,              0.9944,             0.85139,            0.016807,              0.0285,          0.00035304,            0.005644,            0.005644,            0.005644
                  68,            0.036124,             0.05735,           0.0012464,              0.9902,             0.98624,             0.99445,             0.85289,            0.016501,            0.028601,           0.0003517,            0.005578,            0.005578,            0.005578
                  69,            0.036086,             0.05556,           0.0012224,             0.98895,             0.98608,             0.99438,             0.86275,            0.016536,            0.028316,          0.00035242,            0.005512,            0.005512,            0.005512
                  70,            0.036568,            0.056861,           0.0013442,              0.9916,             0.99272,             0.99438,             0.85925,            0.016221,            0.029784,          0.00028692,            0.005446,            0.005446,            0.005446
