               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024511,            0.032131,          0.00054733,             0.85874,             0.90166,             0.96325,             0.60392,            0.015526,            0.026812,          0.00015865,             0.13313,          0.00097417,          0.00097417
                   1,            0.017581,            0.026884,           0.0004682,             0.92194,             0.93608,             0.98309,             0.75193,            0.011176,            0.021279,          9.8298e-05,            0.078906,           0.0019456,           0.0019456
                   2,            0.015433,            0.025618,           0.0004976,             0.95931,             0.96154,             0.98855,              0.8414,           0.0090468,            0.018252,          0.00012656,            0.024667,           0.0029003,           0.0029003
                   3,            0.014643,            0.025397,          0.00049642,             0.98249,             0.98063,             0.99332,             0.87239,           0.0076686,            0.016217,          4.4173e-05,            0.003255,            0.003255,            0.003255
                   4,            0.013918,            0.023504,          0.00048886,              0.9872,             0.98499,             0.99399,             0.87924,           0.0071946,            0.015851,          4.8519e-05,            0.003255,            0.003255,            0.003255
                   5,            0.013545,            0.023712,          0.00043486,             0.99059,             0.98726,             0.99417,              0.8849,           0.0067227,            0.015106,          4.4681e-05,           0.0032266,           0.0032266,           0.0032266
                   6,            0.013674,            0.023953,          0.00044252,             0.98162,             0.98347,               0.992,             0.88297,           0.0066043,            0.015128,          6.6303e-05,           0.0031983,           0.0031983,           0.0031983
                   7,            0.013636,             0.02356,           0.0004317,              0.9918,             0.98548,             0.99231,               0.893,           0.0062847,            0.014588,          6.8134e-05,           0.0031699,           0.0031699,           0.0031699
                   8,             0.01321,            0.023038,          0.00045869,             0.99391,             0.98315,             0.99291,             0.89439,           0.0062043,            0.014483,          6.1703e-05,           0.0031416,           0.0031416,           0.0031416
                   9,            0.013139,            0.022992,          0.00042139,             0.99342,              0.9786,             0.99259,             0.88838,           0.0060791,            0.014491,          6.8396e-05,           0.0031132,           0.0031132,           0.0031132
                  10,            0.013162,            0.023529,          0.00040558,             0.99157,             0.98742,               0.991,             0.88767,            0.006058,            0.014346,          8.2107e-05,           0.0030849,           0.0030849,           0.0030849
                  11,            0.013146,            0.022996,          0.00046079,             0.99339,             0.98727,              0.9938,             0.88792,           0.0059568,            0.014143,          6.6272e-05,           0.0030566,           0.0030566,           0.0030566
                  12,            0.013137,            0.023381,          0.00043752,             0.99225,             0.98887,             0.99316,             0.90154,           0.0058696,            0.013992,          6.7362e-05,           0.0030282,           0.0030282,           0.0030282
                  13,            0.013276,            0.023777,           0.0004147,             0.97391,              0.9869,             0.99268,             0.90265,           0.0058761,            0.014121,          6.3427e-05,           0.0029999,           0.0029999,           0.0029999
                  14,            0.013115,            0.023222,          0.00042487,             0.99035,             0.98652,             0.99402,             0.89952,            0.005818,            0.014477,          3.4823e-05,           0.0029715,           0.0029715,           0.0029715
                  15,            0.012673,            0.022069,           0.0003444,             0.99126,             0.98924,             0.99447,             0.90178,           0.0057733,            0.013829,          4.8403e-05,           0.0029432,           0.0029432,           0.0029432
                  16,            0.013128,            0.023107,          0.00044095,             0.98973,             0.98693,             0.99267,             0.90314,           0.0057028,            0.014036,          7.1879e-05,           0.0029148,           0.0029148,           0.0029148
                  17,             0.01298,            0.022138,          0.00036261,             0.99045,              0.9825,             0.99229,             0.89485,           0.0058305,            0.013937,          8.7022e-05,           0.0028865,           0.0028865,           0.0028865
                  18,            0.012912,            0.023297,          0.00041981,             0.99147,             0.98733,             0.99371,              0.8966,           0.0057799,            0.014013,          6.4251e-05,           0.0028581,           0.0028581,           0.0028581
                  19,            0.012542,            0.021903,          0.00035004,             0.98535,             0.97863,             0.99256,             0.89609,           0.0057035,            0.013773,          6.6663e-05,           0.0028298,           0.0028298,           0.0028298
                  20,            0.012736,            0.022762,          0.00038107,             0.98771,              0.9913,             0.99428,             0.89984,           0.0057023,            0.013653,          3.9562e-05,           0.0028014,           0.0028014,           0.0028014
                  21,            0.012944,            0.023043,          0.00037749,             0.99361,             0.98727,             0.99423,             0.90112,           0.0056119,            0.013554,           4.758e-05,           0.0027731,           0.0027731,           0.0027731
                  22,            0.012903,            0.022373,          0.00036625,             0.99203,             0.98505,             0.99385,             0.91351,           0.0055747,            0.013628,          5.5748e-05,           0.0027448,           0.0027448,           0.0027448
                  23,            0.012836,            0.020845,          0.00037663,             0.99105,             0.98353,             0.99359,             0.89933,           0.0056702,            0.014081,          5.8907e-05,           0.0027164,           0.0027164,           0.0027164
                  24,            0.012716,            0.022744,          0.00035482,             0.98838,             0.98784,             0.99374,             0.89316,           0.0056148,            0.013461,          5.6852e-05,           0.0026881,           0.0026881,           0.0026881
                  25,             0.01259,            0.020865,          0.00034985,             0.99051,             0.98871,             0.99439,             0.90193,           0.0055537,            0.013392,          4.4585e-05,           0.0026597,           0.0026597,           0.0026597
                  26,            0.012604,            0.021503,          0.00032997,             0.98701,              0.9862,             0.99407,             0.91241,           0.0055745,            0.013571,          4.5618e-05,           0.0026314,           0.0026314,           0.0026314
                  27,            0.012598,            0.022172,          0.00036813,             0.99322,             0.98792,             0.99387,             0.90509,           0.0055526,            0.013296,          5.8995e-05,            0.002603,            0.002603,            0.002603
                  28,            0.012906,            0.022539,          0.00040942,             0.99174,              0.9891,             0.99371,             0.90928,            0.005465,            0.013265,          6.6566e-05,           0.0025747,           0.0025747,           0.0025747
                  29,            0.012423,             0.02137,          0.00037351,             0.99121,             0.98839,             0.99326,             0.90498,           0.0054873,            0.013146,          6.9989e-05,           0.0025463,           0.0025463,           0.0025463
                  30,            0.012443,            0.021483,          0.00039622,             0.98914,             0.98906,             0.99344,             0.90366,           0.0054783,            0.013127,          6.6083e-05,            0.002518,            0.002518,            0.002518
                  31,            0.012704,            0.021995,          0.00038159,             0.99042,             0.99757,             0.99494,             0.91511,           0.0054612,            0.013019,          2.0899e-05,           0.0024897,           0.0024897,           0.0024897
                  32,            0.012562,            0.021113,          0.00034678,             0.99132,             0.99508,             0.99492,             0.90339,           0.0054445,            0.013131,          2.1505e-05,           0.0024613,           0.0024613,           0.0024613
                  33,            0.012402,            0.022152,          0.00031225,             0.99048,             0.99757,             0.99493,             0.91401,           0.0054281,            0.013053,          2.0515e-05,            0.002433,            0.002433,            0.002433
                  34,            0.012405,            0.021615,          0.00036339,             0.99132,             0.99476,             0.99493,             0.91961,           0.0054402,            0.013052,          2.2246e-05,           0.0024046,           0.0024046,           0.0024046
                  35,            0.012066,            0.020844,          0.00035269,             0.99119,             0.99017,             0.99455,             0.91069,           0.0053894,             0.01284,          3.5479e-05,           0.0023763,           0.0023763,           0.0023763
                  36,            0.012336,            0.022115,           0.0003655,             0.99031,             0.99081,             0.99443,             0.91223,            0.005366,            0.012884,          3.3462e-05,           0.0023479,           0.0023479,           0.0023479
                  37,            0.012734,            0.022238,          0.00035079,             0.99048,              0.9971,             0.99494,             0.90386,           0.0054086,            0.012877,          2.3133e-05,           0.0023196,           0.0023196,           0.0023196
                  38,            0.012392,            0.021368,          0.00031021,              0.9912,             0.98855,             0.99417,             0.91024,           0.0054135,            0.012849,          5.2258e-05,           0.0022912,           0.0022912,           0.0022912
                  39,            0.012105,            0.021207,          0.00036448,             0.98949,             0.98839,             0.99445,              0.9147,             0.00536,            0.012797,          4.6799e-05,           0.0022629,           0.0022629,           0.0022629
                  40,             0.01229,            0.021598,          0.00036356,             0.98962,             0.99081,             0.99433,             0.90885,           0.0054256,            0.013011,          4.8847e-05,           0.0022345,           0.0022345,           0.0022345
                  41,            0.012349,            0.021531,          0.00031719,             0.99131,             0.98839,             0.99429,             0.91178,           0.0053689,            0.012823,           5.088e-05,           0.0022062,           0.0022062,           0.0022062
                  42,            0.012051,            0.021554,          0.00031723,             0.99176,              0.9902,             0.99421,             0.91057,           0.0053526,              0.0128,          5.2693e-05,           0.0021779,           0.0021779,           0.0021779
                  43,            0.012333,            0.021515,          0.00030784,             0.99217,             0.98124,             0.99438,             0.91503,           0.0053265,            0.012722,          3.5647e-05,           0.0021495,           0.0021495,           0.0021495
                  44,            0.012693,            0.021442,          0.00036036,             0.99156,             0.98825,              0.9945,              0.9194,           0.0053522,             0.01282,           4.775e-05,           0.0021212,           0.0021212,           0.0021212
                  45,            0.012592,            0.021048,          0.00036975,             0.98999,             0.98622,             0.99422,              0.9037,           0.0053915,            0.013252,          4.5811e-05,           0.0020928,           0.0020928,           0.0020928
                  46,            0.012097,             0.02123,          0.00026736,             0.99301,             0.98421,             0.99433,             0.91655,           0.0053403,             0.01294,          4.7632e-05,           0.0020645,           0.0020645,           0.0020645
                  47,            0.012625,            0.021762,          0.00039009,             0.99062,             0.99033,             0.99438,             0.92039,           0.0052887,             0.01258,          5.0689e-05,           0.0020361,           0.0020361,           0.0020361
                  48,            0.012463,            0.021523,          0.00031789,              0.9907,             0.98114,             0.99437,             0.91373,           0.0053291,            0.012672,          3.9609e-05,           0.0020078,           0.0020078,           0.0020078
                  49,            0.012167,            0.020888,          0.00033114,             0.99191,             0.98635,             0.99421,             0.91562,            0.005331,            0.012726,          5.5923e-05,           0.0019794,           0.0019794,           0.0019794
                  50,            0.012135,            0.021611,          0.00029867,             0.98957,             0.99052,             0.99435,             0.91706,           0.0053495,            0.012772,          4.2316e-05,           0.0019511,           0.0019511,           0.0019511
                  51,            0.012321,            0.022369,          0.00030459,             0.99211,              0.9865,             0.99418,             0.91253,           0.0053496,            0.012971,          5.0485e-05,           0.0019228,           0.0019228,           0.0019228
                  52,            0.012109,            0.020908,          0.00033455,             0.98986,              0.9879,             0.99432,              0.9165,           0.0053123,            0.012861,          4.0389e-05,           0.0018944,           0.0018944,           0.0018944
                  53,            0.011851,             0.02032,          0.00031966,              0.9906,             0.98957,             0.99452,              0.9157,           0.0052946,             0.01268,          4.1642e-05,           0.0018661,           0.0018661,           0.0018661
                  54,            0.012094,            0.020865,          0.00032354,             0.98909,             0.98728,             0.99438,             0.91352,           0.0053004,             0.01289,           3.204e-05,           0.0018377,           0.0018377,           0.0018377
